imdb_id,star,genre,runtime,user,critc,dir_popu,ac1_popu,ac2_popu,ac3_popu,total_box_office,n_of_posters,opening_box_office,year,budget_mixed
tt0311648,7.1,Comedy,81,181,130,1.163968,4.848648,5.039266,3.011304,3571253,10,48422,2003,300000
tt0266971,6,Drama,112,31,17,1.036,7.875337,4.14618,2.115955,13134,2,1461,2003,500000
tt0326806,5.4,Drama,95,25,10,1.12,2.701469,1.659749,2.102955,254293,3,99296,2003,500000
tt0340377,7.7,Comedy,88,291,159,2.284626,4.662381,3.011304,6.200678,9470209,9,57785,2003,500000
tt0186719,4.4,Drama,87,3,12,1,1.312045,3.10446,1.372611,58163,3,4855,2003,800000
tt0316188,7.1,Drama,88,142,60,1.000253,2.161681,1.000014,1.2352,2900578,3,33166,2003,800000
tt0290145,6.7,Drama,92,68,44,1.000521,2.298996,1.735368,1.383352,475367,3,30087,2003,1000000
tt0299458,6.9,Drama,108,125,87,2.277909,3.783568,1.452494,3.011304,703020,4,39417,2003,1000000
tt0357470,6.1,Drama,79,48,27,1.008546,5.864879,3.445603,15.194566,839145,3,42569,2003,1000000
tt0281686,7.1,Comedy,92,374,271,1.005615,3.59928,2.001722,1.048048,1492895,9,35636,2003,1000000
tt0293113,7,Horror,75,32,57,1.167372,1,1.000002,1.000088,81371,1,4784,2003,1100000
tt0317640,6.2,Comedy,85,55,36,1.000009,2.269235,1.866946,3.710255,90213,5,19539,2003,1300000
tt0038109,7.6,Film-Noir,111,171,106,4.155175,4.542092,3.086765,1.000914,7457710,55,17508,2003,1500000
tt0322659,6.4,Drama,103,123,61,1,1,2.091106,3.732041,1445140,2,61481,2003,1900000
tt0349159,3.1,Adventure,120,30,7,1.4,1.000335,1.21611,1.000001,1660865,1,114573,2003,2000000
tt0305206,7.5,Biography,101,224,186,1.000048,3.698061,1.000048,1.52,8685632,10,159705,2003,2000000
tt0328538,6.8,Drama,100,548,127,2.599734,10.302279,3.05788,2.565552,9505996,25,116260,2003,2000000
tt0286244,7.8,Animation,80,311,171,1.24,1.0108,1.000971,1.000172,17403168,20,108080,2003,2000000
tt0314412,7.6,Drama,106,133,71,2.677155,2.244869,5.342183,10.846382,12267275,8,40515,2003,2500000
